Station code,Station name,Latitude,Longitude
353230295,BIAŁYSTOK,53.10722222222223,23.16222222222222
349190600,BIELSKO-BIAŁA,49.808055555555555,19.00111111111111
353170240,BYDGOSZCZ,53.1,17.966666666666665
353170235,CHOJNICE,53.71527777777778,17.5325
350190550,CZĘSTOCHOWA,50.8125,19.092499999999998
354190160,ELBLĄG-MILEJEWO,54.223055555555554,19.54361111111111
354180140,GDAŃSK-PORTPÓŁNOCNY,54.39972222222222,18.697777777777777
354180150,GDAŃSK-RĘBIECHOWO,54.38333333333333,18.466666666666665
354180155,GDAŃSK-ŚWIBNO,54.33361111111111,18.934444444444445
352150300,GORZÓWWIELKOPOLSKI,52.74111111111111,15.277222222222223
349200628,HALAGĄSIENICOWA,49.244166666666665,20.00583333333333
354180135,HEL,54.603611111111114,18.811944444444446
350150500,JELENIAGÓRA,50.900277777777774,15.78888888888889
351180435,KALISZ,51.78194444444444,18.081944444444446
349190650,KASPROWYWIERCH,49.2325,19.981944444444444
350190560,KATOWICE-MUCHOWIEC,50.24055555555556,19.032777777777778
354210185,KĘTRZYN,54.068333333333335,21.369444444444444
350200570,KIELCE-SUKÓW,50.81027777777778,20.692222222222224
350160520,KŁODZKO,50.43694444444444,16.61416666666667
352180345,KOŁO,52.20027777777778,18.661388888888887
354150100,KOŁOBRZEG-DŹWIRZYNO,54.15833333333333,15.38888888888889
354160105,KOSZALIN,54.20444444444445,16.155555555555555
351210488,KOZIENICE,51.56472222222222,21.54277777777778
350190566,KRAKÓW-BALICE,50.08027777777778,19.801944444444445
349210670,KROSNO,49.706944444444446,21.769166666666667
351160415,LEGNICA,51.192499999999995,16.2075
349220690,LESKO,49.46638888888889,22.341666666666665
351160418,LESZNO,51.83583333333333,16.534722222222225
354170125,LĘBORK,54.55305555555555,17.723611111111108
351220495,LUBLIN-RADAWIEC,51.216944444444444,22.39361111111111
354170120,ŁEBA,54.75361111111111,17.534722222222225
351190465,ŁÓDŹ-LUBLINEK,51.723333333333336,19.399722222222223
353210280,MIKOŁAJKI,53.78944444444444,21.58861111111111
353200270,MŁAWA,53.10416666666667,20.361111111111114
349200660,NOWYSĄCZ,49.62722222222222,20.689166666666665
353200272,OLSZTYN,53.77111111111111,20.422777777777778
350170530,OPOLE,50.62694444444445,17.968888888888888
353210285,OSTROŁĘKA,53.06583333333333,21.53388888888889
353160230,PIŁA,53.13111111111111,16.748333333333335
352190360,PŁOCK,52.58833333333334,19.72583333333333
352160330,POZNAŃ-ŁAWICA,52.41722222222222,16.835833333333333
349220695,PRZEMYŚL,49.80416666666667,22.771944444444443
350180540,RACIBÓRZ,50.06166666666666,18.191666666666666
353150210,RESKO-SMÓLSKO,53.77166666666667,15.414722222222222
350220580,RZESZÓW-JASIONKA,50.11083333333333,22.042222222222225
350210585,SANDOMIERZ,50.696666666666665,21.715833333333332
352220385,SIEDLCE,52.18111111111111,22.244722222222222
352140310,SŁUBICE,52.348888888888894,14.619444444444445
351190469,SULEJÓW,51.35277777777778,19.864444444444445
354220195,SUWAŁKI,54.130833333333335,22.948888888888888
353140205,SZCZECIN,53.39527777777778,14.622777777777777
353160215,SZCZECINEK,53.71472222222223,16.746666666666666
350150510,ŚNIEŻKA,50.736111111111114,15.739444444444443
353140200,ŚWINOUJŚCIE,53.92333333333333,14.242222222222221
350200575,TARNÓW,50.03,20.984444444444446
352230399,TERESPOL,52.07833333333333,23.62138888888889
353180250,TORUŃ,53.04194444444444,18.595277777777778
354160115,USTKA,54.58833333333334,16.854166666666668
352200375,WARSZAWA-OKĘCIE,52.16277777777778,20.961111111111112
351180455,WIELUŃ,51.211111111111116,18.55777777777778
351230497,WŁODAWA,51.55333333333333,23.529444444444444
351160424,WROCŁAW-STRACHOWICE,51.10333333333333,16.9
349190625,ZAKOPANE,49.29388888888889,19.960277777777776
350230595,ZAMOŚĆ,50.69777777777777,23.20638888888889
351150405,ZGORZELEC,51.13333333333333,15.033333333333333
351150400,ZIELONAGÓRA,51.930277777777775,15.524444444444445
354180131,ŻARNOWIEC,54.71666666666667,18.083333333333332
